brand	model	median_usd	n	confidence	range	status
sansui	AU-666	571	14	Medium	$94-$916	written
sansui	AU-9500	1791	20	Medium	$855-$16,960	written
sansui	DCA-1001		0			too few
sansui	AU-101	216	21	Medium	$72-$542	written
sansui	AU-505	216	13	Medium	$110-$902	written
sansui	500S		0			too few
sansui	AU-5500	290	22	Medium	$85-$702	written
sansui	AU-6500	826	30	Medium	$486-$1,146	written
sansui	AU-6600	853	5	Medium	$719-$918	written
sansui	AU-7500	902	33	Medium	$465-$1,381	written
sansui	AU-7700	704	16	Medium	$475-$862	written
sansui	AU-9900	1619	15	Medium	$97-$3,073	written
sansui	AU-6900	674	4	Low	$184-$1,080	written
sansui	AU-11000	2382	6	Medium	$182-$4,299	written
sansui	AU-11000A	2430	4	Low	$2,160-$3,229	written
sansui	AU-20000	6100	7	Medium	$2,052-$10,789	written
sansui	AU-4400	162	3	Low	$88-$324	written
sansui	AU-7900	1294	7	Medium	$756-$2,085	written
sansui	AU-2900	255	8	Medium	$140-$476	written
sansui	AU-607	887	17	Medium	$736-$948	written
sansui	AU-2200	253	6	Medium	$198-$264	written
sansui	AU-317	324	5	Medium	$312-$400	written
sansui	AU-3900	286	11	Medium	$194-$400	written
sansui	AU-4900	104	9	Medium	$86-$454	written
sansui	AU-5900	594	11	Medium	$399-$6,144	written
sansui	AU-717	236	18	Medium	$127-$1,391	written
sansui	AU-9900A	2015	3	Low	$1,836-$2,912	written
sansui	AU-117	192	10	Medium	$86-$270	written
sansui	AU-217II		2			too few
sansui	AU-317II		1			too few
sansui	AU-517	648	7	Medium	$432-$1,368	written
sansui	AU-707	948	29	Medium	$695-$1,269	written
sansui	AU-117II		0			too few
sansui	AU-919	1296	13	Medium	$110-$2,160	written
sansui	AU-D707	910	4	Low	$864-$958	written
sansui	AU-D907	4731	3	Low	$864-$10,468	written
sansui	AU-217	194	12	Medium	$155-$243	written
sansui	AU-417	391	13	Medium	$97-$756	written
sansui	AU-519	391	3	Low	$110-$600	written
sansui	AU-719	930	8	Medium	$64-$1,404	written
sansui	AU-819		1			too few
sansui	AU-X1	219	3	Low	$110-$15,841	written
sansui	BA-3000	3258	14	Medium	$2,599-$4,120	written
sansui	BA-5000	110	15	Medium	$85-$10,950	written
sansui	BA-2000	2436	20	Medium	$1,296-$3,024	written
sansui	BA-F1	985	9	Medium	$146-$2,653	written
sansui	QA-7000	1576	9	Medium	$1,501-$1,602	written
sansui	CA-3000	2455	11	Medium	$110-$18,029	written
sansui	CA-2000	1393	14	Medium	$795-$2,484	written
sansui	CA-F1		2			too few
sansui	QSD-1		1			too few
sansui	QS-1	2000	23	Medium	$73-$5,006	written
sansui	QS-100	192	6	Medium	$110-$300	written
sansui	QS-500	250	7	Medium	$149-$525	written
sansui	1000X	418	11	Medium	$224-$799	written
sansui	661.00		0			too few
sansui	5000X	290	4	Low	$104-$645	written
sansui	Eight Deluxe		1			too few
sansui	210	180	9	Medium	$104-$258	written
sansui	350A	300	9	Medium	$69-$475	written
sansui	DCS-3000K		0			too few
sansui	Eight	5777	4	Low	$234-$14,502	written
sansui	Seven	712	6	Medium	$63-$1,000	written
sansui	Six	313	5	Medium	$140-$1,349	written
sansui	SM-26		0			too few
sansui	SM-32		1			too few
sansui	SM-34		0			too few
sansui	221	169	7	Medium	$120-$238	written
sansui	331	247	8	Medium	$162-$370	written
sansui	441	270	4	Low	$162-$384	written
sansui	551	284	6	Medium	$215-$342	written
sansui	661	121	9	Medium	$97-$486	written
sansui	771	593	9	Medium	$325-$755	written
sansui	881	1177	7	Medium	$64-$3,681	written
sansui	9090	2429	12	Medium	$86-$4,000	written
sansui	B-50		0			too few
sansui	1010		1			too few
sansui	2020	124	4	Low	$95-$215	written
sansui	5050	508	9	Medium	$132-$899	written
sansui	6060	594	6	Medium	$449-$918	written
sansui	7070	834	4	Low	$132-$1,512	written
sansui	8080	122	7	Medium	$75-$1,700	written
sansui	8080DB	1352	12	Medium	$119-$2,564	written
sansui	9090DB	1999	13	Medium	$100-$3,240	written
sansui	G-2000	492	10	Medium	$60-$1,840	written
sansui	G-3000	438	11	Medium	$192-$702	written
sansui	G-22000	148	12	Medium	$125-$14,500	written
sansui	G-33000		2			too few
sansui	G-5000	838	6	Medium	$132-$1,233	written
sansui	G-5500	504	4	Low	$62-$2,200	written
sansui	G-5700	675	6	Medium	$511-$1,597	written
sansui	G-6000	89	4	Low	$89-$89	written
sansui	G-7000	1250	7	Medium	$65-$3,543	written
sansui	G-8000	1564	10	Medium	$195-$3,780	written
sansui	G-8700DB	1890	6	Medium	$391-$2,695	written
sansui	G-9000	174	8	Medium	$143-$253	written
sansui	G-9000DB	4000	3	Low	$3,600-$5,750	written
sansui	G-3500	629	5	Medium	$600-$3,199	written
sansui	G-4500	964	3	Low	$768-$2,760	written
sansui	G-7500	99	9	Medium	$86-$110	written
sansui	TA-500	978	17	Medium	$160-$994	written
sansui	G-4700		2			too few
sansui	G-6700	1069	5	Medium	$800-$1,303	written
sansui	G-7700	1326	10	Medium	$434-$2,592	written
sansui	G-9700	3870	6	Medium	$95-$7,199	written
sansui	QR-1500	199	3	Low	$189-$239	written
sansui	QR-4500	540	5	Medium	$275-$699	written
sansui	QR-500		1			too few
sansui	QR-6500		2			too few
sansui	QRX-3500	370	10	Medium	$175-$423	written
sansui	QRX-5500	849	9	Medium	$300-$1,200	written
sansui	QRX-6500	648	3	Low	$594-$649	written
sansui	QRX-7500		1			too few
sansui	QRX-3000		2			too few
sansui	QRX-6001	982	6	Medium	$200-$1,400	written
sansui	QRX-7001	101	10	Medium	$86-$402	written
sansui	QRX-5001		1			too few
sansui	QRX-8001		1			too few
sansui	QRX-9001	2824	4	Low	$2,095-$4,657	written
sansui	SD-7000		1			too few
sansui	SD-5000	438	21	Medium	$366-$449	written
sansui	QD-5500	103	11	Medium	$86-$509	written
sansui	RA-500	252	10	Medium	$99-$540	written
sansui	RA-700	238	4	Low	$97-$300	written
sansui	TU-999	447	6	Medium	$408-$499	written
sansui	TU-666	1815	23	Medium	$91-$4,703	written
sansui	TU-9500	438	6	Medium	$110-$1,189	written
sansui	TU-505		1			too few
sansui	TU-7500	302	5	Medium	$99-$839	written
